名称,果重,个数,单果重,硬度均值,糖度均值,颜色,形状,备注,萼片长度
241FL-29-1G-5-1,10.62,2,5.31,12.45,12.0,红,卵圆,(失水),短
241FL-29-1G-5-2,9.85,2,4.93,11.20,11.5,红,圆,失水,短
242WY9-1-1-1,5.56,1,5.56,16.86,10.4,红,长圆,,短
242YH18-18-2,6.78,1,6.78,14.32,9.8,黄,卵圆,,短
241S23-2A-1-2,97.46,5,19.49,9.87,8.7,粉,扁圆,,短
241FL-14-1G-136-1,95.01,4,23.75,10.56,7.7,红,高圆,,短
CK9,99.48,5,19.90,8.36,8.0,粉,扁圆,,短
CK10,48.92,4,12.23,8.12,9.7,绿熟,圆,,短
241H35-1A-3-2,52.86,3,17.62,9.87,9.9,红,圆,,短
241FL-2-1G-5-1,72.04,4,18.01,14.64,7.9,红,高圆,,短
242WY5-1-1,15.30,3,5.10,13.25,11.2,黄,梨,,短
241H36-1A-1,45.67,3,15.22,7.89,8.5,橙,圆,,短
241FL-28-1GRR-28,38.90,2,19.45,11.20,8.2,红,长圆,,短
241FL-28-1GRR-27,42.15,3,14.05,9.56,8.8,粉,圆,灰叶斑,短
241FL-26-1GRR-5,28.75,2,14.38,10.34,9.2,红,卵圆,,短
241S16-2A-1,55.20,3,18.40,8.78,7.5,红,扁圆,,短
241S14-1A-1,62.30,4,15.58,9.12,8.1,粉,圆,,短
CK10,97.18,5,19.44,11.77,7.6,绿,圆,,短
241S21-混红A-1,33.60,3,11.20,10.50,9.0,红,卵圆,,短
241H50-1-1,48.50,3,16.17,7.56,8.3,橙,扁圆,黄曲严重,短
241H43-1-1,51.20,3,17.07,8.90,8.6,红,圆,,短
241H45-1A-2,44.80,3,14.93,9.45,9.3,粉,高圆,,短
242WY182-7-1-1,12.40,2,6.20,12.80,10.8,黄,梨,,短
242WY226-1A-1,18.90,3,6.30,11.50,10.2,红,卵圆,,短
242YN14-1-1,22.50,3,7.50,10.80,9.5,橙,长圆,黄曲严重,短
241H41-1-1,58.70,4,14.68,8.20,7.8,红,圆,,短
241S12-2-1,40.20,3,13.40,9.60,8.9,粉,扁圆,,短
24QTF2-39-混,16.80,3,5.60,6.52,10.5,绿,桃,,短
241H34-1A-1-混,35.40,3,11.80,7.90,9.1,红,圆,失水,短
CK11,89.65,5,17.93,8.29,7.5,橙,卵圆,,短
242WY9-1-1,8.90,1,8.90,15.60,11.0,红,长圆,,短
241FL-27-1GRR-29,43.50,3,14.50,10.10,8.4,粉,圆,,短
