编号,品种名称,种质类型,来源地,产量(公斤/亩),株高(cm),生育期(天),抗稻瘟病,抗白叶枯病,蛋白质含量(%),直链淀粉(%),胶稠度(mm)
G001,华粳8号,选育品种,江苏,685.5,98,152,抗,中抗,8.5,17.2,68
G002,南粳9108,选育品种,江苏,652.3,102,155,中抗,感,9.2,14.8,72
G003,武运粳24,选育品种,江苏,678.0,95,150,抗,中抗,8.8,16.5,65
G004,镇稻18号,选育品种,江苏,665.2,100,153,中抗,中抗,9.0,15.8,70
G005,徐稻9号,选育品种,江苏,645.8,105,158,感,感,8.6,18.2,62
G006,连粳11号,选育品种,江苏,638.5,108,160,中抗,感,9.1,17.5,66
G007,淮稻5号,选育品种,江苏,672.0,97,151,抗,抗,8.3,16.8,71
G008,扬粳4038,选育品种,江苏,658.6,99,154,中抗,中抗,8.9,15.5,69
G009,常农粳8号,选育品种,江苏,668.3,96,152,抗,中抗,8.7,17.0,67
G010,金粳818,选育品种,天津,642.0,103,156,感,中抗,9.3,16.2,64
G011,津原89,选育品种,天津,655.8,101,155,中抗,中抗,8.5,17.8,63
G012,隆粳6号,选育品种,天津,635.2,106,159,感,感,9.0,15.2,70
G013,辽粳9号,选育品种,辽宁,648.6,104,157,中抗,中抗,8.6,16.9,68
G014,沈农9816,选育品种,辽宁,662.3,97,153,抗,抗,8.4,17.3,72
G015,铁粳11号,选育品种,辽宁,639.0,107,158,感,中抗,9.1,15.8,65
G016,越光,引进材料,日本,568.5,92,145,感,感,7.8,12.5,82
G017,一见钟情,引进材料,日本,552.3,90,142,高感,高感,7.5,11.8,85
G018,秋田小町,引进材料,日本,578.0,94,148,感,感,8.0,13.2,80
G019,龙粳31,选育品种,黑龙江,682.5,93,135,中抗,中抗,8.2,16.8,66
G020,空育131,选育品种,黑龙江,695.0,91,132,抗,中抗,7.9,17.5,64
G021,稻花香2号,地方品种,黑龙江,585.3,110,142,感,感,8.8,15.2,78
G022,松粳9号,选育品种,黑龙江,675.8,95,138,中抗,中抗,8.5,16.2,67
G023,楚粳28号,选育品种,云南,655.0,98,165,中抗,抗,9.2,14.8,72
G024,云粳29号,选育品种,云南,642.5,102,168,感,中抗,8.9,15.5,70
G025,凤稻29号,选育品种,云南,628.3,105,170,高感,感,9.4,16.0,68
G026,中早39,选育品种,浙江,615.6,88,110,中抗,中抗,10.2,18.5,55
G027,中嘉早17,选育品种,浙江,608.2,85,108,中抗,感,10.5,19.2,52
G028,金早47,选育品种,浙江,595.8,87,112,感,感,10.8,18.8,58
G029,湘早籼45号,选育品种,湖南,602.5,90,115,中抗,中抗,10.1,17.8,60
G030,株两优819,选育品种,湖南,618.3,86,105,抗,中抗,9.8,18.2,56
G031,陵两优268,选育品种,湖南,625.0,89,107,中抗,中抗,9.5,17.5,62
G032,荣优华占,选育品种,江西,635.5,93,120,中抗,抗,9.2,16.8,65
G033,五优308,选育品种,广东,648.2,95,125,抗,抗,8.8,16.2,68
G034,天优3611,选育品种,广东,655.8,97,128,抗,中抗,8.5,15.8,70
G035,博优998,选育品种,广西,642.0,100,130,中抗,中抗,9.0,17.0,66
G036,特优63,选育品种,广西,668.5,105,135,中抗,感,8.7,18.5,60
G037,红莲优6号,选育品种,湖北,672.3,108,140,感,中抗,8.6,16.5,64
G038,两优培九,选育品种,湖北,685.0,110,142,中抗,中抗,8.4,15.8,68
G039,扬两优6号,选育品种,安徽,678.6,106,145,抗,抗,8.3,16.2,70
G040,新两优6号,选育品种,安徽,665.2,104,143,中抗,中抗,8.8,17.2,67
