编号,生长习性,裂果性,果肩,熟前果色,萼片形态,花序类型,花序长度,串形,串形间隔,熟性,生长势,备注病害果尖等,首花节位_1,首花节位_2,首花节位_3,花序间隔节位_1,花序间隔节位_2,花序间隔节位_3
241S21-混红A-1,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
241S16-2A-1,1,2,1,3,3,2,2,2,2,2,2,,7,8,9,3,3,3
241S14-1A-1,1,1,2,3,2,1,2,1,2,1,1,,9,10,11,3,3,4
241H36-1A-1,1,2,1,2,2,2,2,2,2,2,1,,8,9,10,3,3,3
241FL-29-1G-18,1,3,1,4,3,2,2,3,3,3,1,黄曲很严重,10,11,12,4,4,4
241FL-29-1G-5,1,3,1,4,3,2,2,3,3,3,1,黄曲很严重,10,11,12,4,4,4
241FL-28-1GRR-28,1,2,1,3,2,2,2,2,2,2,1,,9,10,11,3,3,3
241FL-28-1GRR-27,1,2,1,3,2,2,2,2,2,2,2,灰叶斑严重,9,10,11,3,3,3
241FL-26-1GRR-5,1,1,2,2,2,1,1,1,1,1,1,,7,8,9,2,3,3
241S6-1-1,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
241S7-混A-1,1,3,1,4,3,2,2,3,3,3,2,黄曲很严重,10,11,12,4,4,4
241FL-28-1GRR-44,1,2,1,3,2,2,2,2,2,2,1,,9,10,11,3,3,3
241FL-27-1GRR-29,1,2,1,3,2,2,2,2,2,2,1,,9,10,11,3,3,3
241H54-1-1,1,2,1,2,2,2,2,2,2,2,1,,8,9,10,3,3,3
241H50-1-1,1,3,1,4,3,2,2,3,3,3,2,黄曲严重,10,11,12,4,4,4
241H43-1-1,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
241H45-1A-2,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
242WY9-1-1,1,1,2,2,2,1,1,1,1,1,1,,6,7,8,2,2,3
242WY5-1-1,1,2,1,3,3,2,2,2,2,2,1,,7,8,9,3,3,3
242WY182-7-1-1,1,2,1,3,2,2,2,2,2,2,1,,7,8,9,3,3,3
242WY226-1A-1,1,1,2,1,2,1,1,1,1,1,1,,6,7,8,2,2,3
242YN14-1-1,1,3,1,4,3,2,2,3,3,3,2,黄曲严重,11,12,13,4,4,5
241H41-1-1,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
241S12-2-1,1,2,1,3,2,2,2,2,2,2,1,,7,8,9,3,3,3
241S23-2A-1-2,1,1,2,2,2,1,1,1,1,1,1,,6,7,8,2,2,3
241FL-14-1G-136-1,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
241FL-2-1G-5-1,1,2,1,3,3,2,2,2,2,2,1,,8,9,10,3,3,3
241H35-1A-3-2,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
241H34-1A-1-混,1,3,1,4,3,2,2,3,3,3,2,,10,11,12,4,4,4
241FL-29-1G-5-1,1,3,1,4,3,2,2,3,3,3,1,黄曲很严重,10,11,12,4,4,4
241S6-1-2,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
241H45-1A-3,1,2,1,3,2,2,2,2,2,2,1,,8,9,10,3,3,3
